match_id,date,venue,innings,batting_team,bowling_team,over,ball,over_ball,batsman,non_striker,bowler,runs_batsman,extras,total_runs,is_wicket,dismissal_type,current_score,wickets,ball_number,balls_left,innings_total,first_total,is_chasing,required_runs,required_rr,current_rr,pressure_index,runs_last_6,runs_last_12,player_runs_match,form_5,runs,balls,outs,vs_sr,vs_avg,bowler_type,venue_avg,runs_next_36,target_50
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,8,6,8.6,AB de Villiers,JR Philippe,S Nadeem,1,0,1,0,,52,2,56,64,120,120,0,68,6.375,5.571428571428571,1.1442307692307694,10.0,13.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,36.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,9,1,9.1,AB de Villiers,JR Philippe,Rashid Khan,1,0,1,0,,53,2,57,63,120,120,0,67,6.380952380952381,5.578947368421052,1.1437556154537287,9.0,14.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,36.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,9,2,9.2,JR Philippe,AB de Villiers,Rashid Khan,1,0,1,0,,54,2,58,62,120,120,0,66,6.387096774193548,5.586206896551724,1.1433691756272402,9.0,15.0,32,16.5,3,8,1,37.5,3.0,spin,1.1261682242990654,36.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,9,3,9.3,AB de Villiers,JR Philippe,Rashid Khan,1,0,1,0,,55,2,59,61,120,120,0,65,6.39344262295082,5.59322033898305,1.143070044709389,9.0,16.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,36.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,9,4,9.4,JR Philippe,AB de Villiers,Rashid Khan,1,0,1,0,,56,2,60,60,120,120,0,64,6.4,5.6,1.142857142857143,6.0,17.0,32,16.5,3,8,1,37.5,3.0,spin,1.1261682242990654,36.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,9,5,9.5,AB de Villiers,JR Philippe,Rashid Khan,4,0,4,0,,60,2,61,59,120,120,0,60,6.101694915254237,5.901639344262295,1.0338983050847457,9.0,20.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,36.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,9,6,9.6,AB de Villiers,JR Philippe,Rashid Khan,1,0,1,0,,61,2,62,58,120,120,0,59,6.103448275862069,5.903225806451613,1.0339174674957603,9.0,19.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,10,1,10.1,AB de Villiers,JR Philippe,S Nadeem,0,0,0,0,,61,2,63,57,120,120,0,59,6.2105263157894735,5.809523809523809,1.0690250215703192,8.0,17.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,39.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,10,2,10.2,AB de Villiers,JR Philippe,S Nadeem,6,0,6,0,,67,2,64,56,120,120,0,53,5.678571428571428,6.28125,0.904051172707889,13.0,22.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,41.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,10,3,10.3,AB de Villiers,JR Philippe,S Nadeem,2,0,2,0,,69,2,65,55,120,120,0,51,5.563636363636364,6.369230769230769,0.873517786561265,14.0,23.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,41.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,10,4,10.4,AB de Villiers,JR Philippe,S Nadeem,1,0,1,0,,70,2,66,54,120,120,0,50,5.555555555555555,6.363636363636363,0.873015873015873,14.0,20.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,42.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,10,5,10.5,JR Philippe,AB de Villiers,S Nadeem,1,0,1,0,,71,2,67,53,120,120,0,49,5.547169811320754,6.358208955223881,0.8724422003720435,11.0,20.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,42.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,10,6,10.6,AB de Villiers,JR Philippe,S Nadeem,0,0,0,1,caught,71,3,68,52,120,120,0,49,5.653846153846154,6.264705882352941,0.9024918743228603,10.0,19.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,42.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,11,1,11.1,JR Philippe,Washington Sundar,Rashid Khan,0,0,0,0,,71,3,69,51,120,120,0,49,5.764705882352941,6.173913043478261,0.9337199668599835,10.0,18.0,32,16.5,3,8,1,37.5,3.0,spin,1.1261682242990654,42.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,11,2,11.2,JR Philippe,Washington Sundar,Rashid Khan,0,0,0,0,,71,3,70,50,120,120,0,49,5.88,6.085714285714286,0.9661971830985915,4.0,17.0,32,16.5,3,8,1,37.5,3.0,spin,1.1261682242990654,46.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,11,3,11.3,JR Philippe,Washington Sundar,Rashid Khan,0,5,5,0,,76,3,71,49,120,120,0,44,5.387755102040817,6.422535211267605,0.8388829215896887,7.0,21.0,32,16.5,3,8,1,37.5,3.0,spin,1.1261682242990654,46.0,0
